SID,Nombre,Código,Organización,Latitud,Longitud,Altura,Medida,Valor,Confianza
561,"Polizones","AG201","agromet",-41.115147,-73.376627833,136.0,"Temperatura",17.41,100
496,"La Union Norte","AG295","agromet",-40.288667,-73.071333,26.0,"Temperatura",20.5,100
690,"El Carmen","AG72","agromet",-34.608055556,-70.975,357.0,"Temperatura",24.13,100
479,"Villa O\"Higgins subcomisaría","480002","dmc",-48.4714,-72.5603,280.0,"Temperatura",,0
647,"Pirque","AG42","agromet",-33.673888889,-70.586944444,663.0,"Temperatura",23.05,100
1398,"Las Puertas","AG277","agromet",-32.362194,-70.81972183,549.0,"Temperatura",22.43,100
240,"Maule en Forel","07383001-K","dga",-35.4069,-72.2083,30.0,"Temperatura",,0
629,"Tamelaike","AG207","agromet",-45.759113833,-72.061842833,470.0,"Temperatura",14.57,100
288,"Cn Laja-Diguillín","08380005-4","dga",-37.3006,-71.9642,0.0,"Temperatura",,0
668,"Calera de Tango","AG49","agromet",-33.630555556,-70.799166667,469.0,"Temperatura",23.21,100
297,"Río Leiva en Puente Camino a Contulmo","08821006-9","dga",-37.8131,-73.3922,48.0,"Temperatura",,0
216,"Cn Duao Zapata","07322008-4","dga",-35.5892,-71.5358,0.0,"Temperatura",,0
1346,"Punta Arenas","yy:00:00:00:00:36","redmeteo",-53.136312,-70.92181,80.0,"Temperatura",,0
58,"Antofagasta","02710003-1","dga",-23.5975,-70.3867,50.0,"Temperatura",,0
797,"Las Palmas","AG318","agromet",-38.227778,-72.273333,383.0,"Temperatura",19.09,100
511,"Monte Patria","AG15","agromet",-30.682222222,-70.939444444,563.0,"Temperatura",23.45,100
684,"La Estrella Norte","AG80","agromet",-34.213333333,-71.716111111,288.0,"Temperatura",,0
656,"El Paico","AG303","agromet",-33.70638889,-71.00805556,270.0,"Temperatura",,0
32,"El Tatio","02105022-9","dga",-22.3711,-68.0133,4370.0,"Temperatura",,0
431,"Pampa Huanaco","12876003-2","dga",-54.0497,-68.7997,150.0,"Temperatura",,0
